,business_id,metric_1,metric_2,stars,recent_stars
0,0Z8ps_OfcR9eJaV2JtxigA,0.671034309420396,0.75,4.0,3.772727272727273
1,1w40T5J6br425rMvpS1zgQ,0.8370642641186714,0.92,5.0,4.8
2,2SevIwjgGdDdkIfs3Peu-Q,0.6257074771878811,0.7115384615384616,4.0,3.9038461538461537
3,41LEg4ZgFDVnZfToxGXiGA,0.7185461988834583,0.8260869565217391,4.0,4.086956521739131
4,49Gyz-LD9MxTh1yzbYiOhw,0.7293947906243604,0.7692307692307693,4.5,4.142857142857143
5,5Y7cqSgUSfLwn7ulBeO_sA,0.6087154677028165,0.7058823529411765,4.0,3.323529411764706
6,5asvaAT-jDbOnCM3iPlScw,0.7132357068892036,0.8214285714285714,4.5,4.285714285714286
7,6wqxuBt2InDipRuUj8BNuQ,0.7498040124773979,0.8571428571428571,4.0,4.166666666666667
8,7cpj7hjDTX5fb-6pYcZiGQ,0.5570760578738423,0.6062992125984252,4.0,3.3307086614173227
9,99zoELPcbwRBUqiPoaPqiQ,0.8979014147605214,0.9642857142857143,5.0,4.964285714285714
10,9A5Gw0At6so0x-vWM0_JZw,0.7687813112236284,0.8518518518518519,4.5,4.518518518518518
11,ABSiUVpGvn4waVJkLktMYg,0.7725937385112047,0.8888888888888888,4.5,4.722222222222222
12,E6AnAHwEXEWwjbaRw5xyUg,0.6895054620173242,0.7777777777777778,4.5,4.444444444444445
13,GOSVLhjUT6TnrPhkkmDOpw,0.7351167463511229,0.82,4.5,4.46
14,IjMs1n7UelI7ev_5IDl5kA,0.5819435362914103,0.6078431372549019,4.0,3.7450980392156863
15,JrG4NINLspXPNhSXg7Q07Q,0.6216273873833801,0.6996466431095406,4.0,3.756183745583039
16,KqUinf0QEeiZdxko2dFEsA,0.8223248938488406,0.9302325581395349,4.5,4.6976744186046515
17,Ku2b7oA9s56mHoflb5lJ2w,0.8311377537471277,0.9259259259259259,5.0,4.777777777777778
18,MOy8qGtBOoJzRnHnv3Y3JQ,0.6989773292912216,0.8048780487804879,4.5,4.2439024390243905
19,McQZweV9DLoNzbJWksPJ6w,0.806906545252511,0.8787878787878788,4.5,4.606060606060606
20,OAWa1WML2V1ZLJGD6V3nBQ,0.7245244786346732,0.8054607508532423,4.5,4.6552901023890785
21,Q9poenJ9SS3agpPo4Pgyyg,0.7696646619191829,0.8297872340425532,4.5,4.553191489361702
22,QTjtz-bfm8Yrrv6t0PP0FQ,0.7623707234859467,0.84,4.0,4.28
23,SLWYIXWq2hAJAErn_icdXw,0.7830552588751976,0.851063829787234,4.5,4.48936170212766
24,SUpQ7uFtXvdzgVubewMV8g,0.7801395540054028,0.8846153846153846,4.0,4.230769230769231
25,T0qzsFxkHK9w1afnmns4fw,0.7540307421651151,0.8611111111111112,4.0,4.194444444444445
26,TJaImyntBu0ebKugcyj6eQ,0.5222257675120124,0.5185185185185185,3.5,3.4814814814814814
27,TUtOrI_GnVwSuHHTTEN8MA,0.6044911084962743,0.6428571428571429,4.0,3.2857142857142856
28,UQLWfOGTF-7T2EQlUT92Zg,0.6991928555071354,0.8,4.5,4.266666666666667
29,V_jy9Aemc3kjznqhbsu_Dg,0.6248431916123834,0.7068965517241379,3.5,4.0
30,ZSaKeh2-3U9BiMMqZA0z9Q,0.7940009167561164,0.9230769230769231,4.5,4.5
31,_O_KBH1MStcUkS1xk5pxsg,0.7392203954772817,0.8055555555555556,4.5,4.305555555555555
32,_Q3XmBesceFqn9Dk-w6tlA,0.6818876217628987,0.7735849056603774,4.5,4.547169811320755
33,bACIZGdHRFfNtrufH0wMbQ,0.7261933068243357,0.7692307692307693,4.5,4.653846153846154
34,bpEiVcivZFHixcDGKXQQJA,0.6632953223717564,0.7647058823529411,4.0,3.764705882352941
35,dc98lqGzBSpZZExT_LSiCA,0.8506146283061417,0.9629629629629629,5.0,4.888888888888889
36,e27sItQBZuFbBPz_Ucq76A,0.6641274991844381,0.7142857142857143,4.0,3.9714285714285715
37,gdklkhsq4C7KANfnXaTlWg,0.810590407550335,0.9,4.5,4.38
38,h_rcMQtglIiAs-Oc5d8Ozw,0.7306591601151488,0.8260869565217391,3.5,4.065217391304348
39,p1Y8bMd0ixx1dzj9oTjEOw,0.8320119738268356,0.9333333333333333,5.0,4.766666666666667
40,p_g_AjXjRGXN_IyGAzuIMg,0.6979214987736575,0.7346938775510204,4.5,4.3061224489795915
41,pq8x9lii-ZV1U4RJVG29Lg,0.6208606318105012,0.68,4.0,3.76
42,qsm7SkX60JsajT7Yz248FA,0.639090589247644,0.7176470588235294,4.0,4.2
43,s30pUay0opzvriFweACWEA,0.8035895694047213,0.9166666666666666,5.0,4.75
44,t2vxEpIP8ntB4OBHrNAcVw,0.5428231924824003,0.5833333333333334,3.5,3.5
45,zujdPV3HT-Y-CKE1GgkMHQ,0.7733095294434177,0.8677685950413223,4.5,4.7272727272727275
